,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
104,2021-04-15,1,5936.95,18:30:00,14.0,20.2,0.0,7.4,5.4,SW,39.0,14:25,15.8,52.0,3,WNW,11.0,1016.2,15.7,71,7.0,WNW,6,1015.3
105,2021-04-16,1,6202.21,18:30:00,11.5,15.1,1.0,4.2,1.3,SSW,24.0,10:53,12.3,75.0,7,NNE,6.0,1024.2,14.5,56,7.0,S,7,1023.9
106,2021-04-17,2,5450.82,19:00:00,12.3,17.7,0.0,3.2,3.7,SSE,22.0,14:57,14.2,50.0,7,W,9.0,1025.6,16.7,50,7.0,S,13,1024.0
107,2021-04-18,1,5572.65,18:30:00,13.1,18.8,0.0,3.2,0.7,NNW,20.0,11:20,14.9,77.0,7,NW,2.0,1023.5,17.5,64,7.0,S,2,1020.3
108,2021-04-19,2,5937.22,18:30:00,12.0,20.6,0.0,2.8,2.3,NW,30.0,13:27,15.3,64.0,6,N,9.0,1018.4,18.9,47,6.0,NNW,15,1014.1
109,2021-04-20,2,6632.03,18:30:00,14.0,18.7,0.0,5.6,1.9,SSW,44.0,19:42,16.3,53.0,5,N,9.0,1011.0,11.4,88,7.0,W,6,1011.0
110,2021-04-21,3,6539.68,18:30:00,7.1,14.9,10.4,0.2,7.7,N,19.0,23:00,10.0,65.0,1,NW,2.0,1019.2,14.2,48,6.0,S,7,1015.4
111,2021-04-22,2,6464.1,18:30:00,9.9,17.0,0.0,4.0,1.6,WSW,30.0,16:15,13.4,62.0,7,NNW,13.0,1013.3,16.8,46,7.0,WNW,9,1012.0
112,2021-04-23,2,6154.8,18:30:00,12.1,17.3,0.4,3.0,2.0,WSW,31.0,9:24,14.7,66.0,7,W,11.0,1018.6,16.4,51,7.0,WSW,9,1018.5
113,2021-04-24,1,5763.75,18:30:00,13.1,18.3,0.0,3.2,1.8,NW,30.0,13:06,15.1,56.0,7,NNW,15.0,1023.2,17.3,58,7.0,SSE,2,1021.8
